1
P, 35
# christmas tree
0.416667, -8.5677
0.312499, 11.7708
-0.130209, 5.91146
-1.875, 5.15625
2.03125, 1.09375
5.36458, -2.1875
8.90625, 5.78125
2.65625, -6.51042
-6.48438, 6.06771
-6.04167, -1.64063
-11.9792, -0.3125
-8.80208, 2.70833
-3.02083, -0.260417
9.34896, -1.3574e-07
10.8854, -1.06771
-7.70833, -0.807292
12.8125, 0.494791
12.6823, -2.65625
12.9427, -3.61979
2.89062, -1.69271
-6.64062, 0.338542
-11.0417, 0.338542
-2.94271, -1.48438
-12.3177, -2.57813
-12.5, -2.5
-6.84896, -2.44792
-4.81771, -2.31771
13.099, -4.53125
13.099, -4.55729
13.099, -4.58333
13.099, -5.98958
0.260417, -5
-12.474, -3.41146
-12.474, -5.41667
0.338541, -6.17188
